word,tag,category,subcategory,type
competition,NOUN-INANIM-EVT,Noun,Inanimate,Event
competitions,NOUN-INANIM-EVT,Noun,Inanimate,Event
festival,NOUN-INANIM-EVT,Noun,Inanimate,Event
festivals,NOUN-INANIM-EVT,Noun,Inanimate,Event
holiday,NOUN-INANIM-EVT,Noun,Inanimate,Event
holidays,NOUN-INANIM-EVT,Noun,Inanimate,Event
birthday,NOUN-INANIM-EVT,Noun,Inanimate,Event
birthdays,NOUN-INANIM-EVT,Noun,Inanimate,Event
funeral,NOUN-INANIM-EVT,Noun,Inanimate,Event
funerals,NOUN-INANIM-EVT,Noun,Inanimate,Event
exhibition,NOUN-INANIM-EVT,Noun,Inanimate,Event
exhibitions,NOUN-INANIM-EVT,Noun,Inanimate,Event
conference,NOUN-INANIM-EVT,Noun,Inanimate,Event
conferences,NOUN-INANIM-EVT,Noun,Inanimate,Event
show,NOUN-INANIM-EVT,Noun,Inanimate,Event
shows,NOUN-INANIM-EVT,Noun,Inanimate,Event
ceremony,NOUN-INANIM-EVT,Noun,Inanimate,Event
ceremonies,NOUN-INANIM-EVT,Noun,Inanimate,Event
walk,NOUN-INANIM-EVT,Noun,Inanimate,Event
walks,NOUN-INANIM-EVT,Noun,Inanimate,Event
trip,NOUN-INANIM-EVT,Noun,Inanimate,Event
trips,NOUN-INANIM-EVT,Noun,Inanimate,Event
vacation,NOUN-INANIM-EVT,Noun,Inanimate,Event
vacations,NOUN-INANIM-EVT,Noun,Inanimate,Event
holiday,NOUN-INANIM-EVT,Noun,Inanimate,Event
holidays,NOUN-INANIM-EVT,Noun,Inanimate,Event
engagement,NOUN-INANIM-EVT,Noun,Inanimate,Event
engagements,NOUN-INANIM-EVT,Noun,Inanimate,Event
graduation,NOUN-INANIM-EVT,Noun,Inanimate,Event
graduations,NOUN-INANIM-EVT,Noun,Inanimate,Event
panel,NOUN-INANIM-EVT,Noun,Inanimate,Event
panels,NOUN-INANIM-EVT,Noun,Inanimate,Event
opening,NOUN-INANIM-EVT,Noun,Inanimate,Event
openings,NOUN-INANIM-EVT,Noun,Inanimate,Event
closing,NOUN-INANIM-EVT,Noun,Inanimate,Event
closings,NOUN-INANIM-EVT,Noun,Inanimate,Event
exam,NOUN-INANIM-EVT,Noun,Inanimate,Event
exams,NOUN-INANIM-EVT,Noun,Inanimate,Event
lesson,NOUN-INANIM-EVT,Noun,Inanimate,Event
lessons,NOUN-INANIM-EVT,Noun,Inanimate,Event
event,NOUN-INANIM-EVT,Noun,Inanimate,Event
events,NOUN-INANIM-EVT,Noun,Inanimate,Event
party,NOUN-INANIM-EVT,Noun,Inanimate,Event
parties,NOUN-INANIM-EVT,Noun,Inanimate,Event
visit,NOUN-INANIM-EVT,Noun,Inanimate,Event
visits,NOUN-INANIM-EVT,Noun,Inanimate,Event
trip,NOUN-INANIM-EVT,Noun,Inanimate,Event
trips,NOUN-INANIM-EVT,Noun,Inanimate,Event
game,NOUN-INANIM-EVT,Noun,Inanimate,Event
games,NOUN-INANIM-EVT,Noun,Inanimate,Event
screening,NOUN-INANIM-EVT,Noun,Inanimate,Event
screenings,NOUN-INANIM-EVT,Noun,Inanimate,Event
historic,ADJ-NINT-AGE,Adjective,Non-intersective,Age
leather,ADJ-INT-MAT,Adjective,Intersective,Material
elderly,ADJ-NINT-AGE,Adjective,Non-intersective,Age
light,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
glass,ADJ-INT-MAT,Adjective,Intersective,Material
antique,ADJ-NINT-AGE,Adjective,Non-intersective,Age
aged,ADJ-NINT-AGE,Adjective,Non-intersective,Age
velvet,ADJ-INT-MAT,Adjective,Intersective,Material
historic,ADJ-NINT-AGE,Adjective,Non-intersective,Age
yellow,ADJ-INT-COLOR,Adjective,Intersective,Color
massive,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
metallic,ADJ-INT-MAT,Adjective,Intersective,Material
wide,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
blue,ADJ-INT-COLOR,Adjective,Intersective,Color
ancient,ADJ-NINT-AGE,Adjective,Non-intersective,Age
pink,ADJ-INT-COLOR,Adjective,Intersective,Color
woolen,ADJ-INT-MAT,Adjective,Intersective,Material
big,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
green,ADJ-INT-COLOR,Adjective,Intersective,Color
straight,ADJ-INT-SHAPE,Adjective,Intersective,Shape
happy,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
massive,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
brown,ADJ-INT-COLOR,Adjective,Intersective,Color
small,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
square,ADJ-INT-SHAPE,Adjective,Intersective,Shape
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
small,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
woolen,ADJ-INT-MAT,Adjective,Intersective,Material
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
low,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
giant,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
navy,ADJ-INT-COLOR,Adjective,Intersective,Color
long,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
red,ADJ-INT-COLOR,Adjective,Intersective,Color
round,ADJ-INT-SHAPE,Adjective,Intersective,Shape
bad,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
wide,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
beautiful,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
golden,ADJ-INT-MAT,Adjective,Intersective,Material
violet,ADJ-INT-COLOR,Adjective,Intersective,Color
iron,ADJ-INT-MAT,Adjective,Intersective,Material
cold,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
noisy,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
heavy,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
polite,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
curved,ADJ-INT-SHAPE,Adjective,Intersective,Shape
bitter,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
clean,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
silken,ADJ-INT-MAT,Adjective,Intersective,Material
generous,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
concrete,ADJ-INT-MAT,Adjective,Intersective,Material
plastic,ADJ-INT-MAT,Adjective,Intersective,Material
golden,ADJ-INT-MAT,Adjective,Intersective,Material
contemporary,ADJ-NINT-AGE,Adjective,Non-intersective,Age
short,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
gold,ADJ-INT-COLOR,Adjective,Intersective,Color
cream,ADJ-INT-COLOR,Adjective,Intersective,Color
yellow,ADJ-INT-COLOR,Adjective,Intersective,Color
medium,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
brown,ADJ-INT-COLOR,Adjective,Intersective,Color
trapezoidal,ADJ-INT-SHAPE,Adjective,Intersective,Shape
rectangular,ADJ-INT-SHAPE,Adjective,Intersective,Shape
massive,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
narrow,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
metallic,ADJ-INT-MAT,Adjective,Intersective,Material
short,ADJ-INT-SHAPE,Adjective,Intersective,Shape
elderly,ADJ-NINT-AGE,Adjective,Non-intersective,Age
long,ADJ-INT-SHAPE,Adjective,Intersective,Shape
violet,ADJ-INT-COLOR,Adjective,Intersective,Color
clean,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
mature,ADJ-NINT-AGE,Adjective,Non-intersective,Age
turquoise,ADJ-INT-COLOR,Adjective,Intersective,Color
stone,ADJ-INT-MAT,Adjective,Intersective,Material
navy,ADJ-INT-COLOR,Adjective,Intersective,Color
pink,ADJ-INT-COLOR,Adjective,Intersective,Color
massive,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
rude,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
yellow,ADJ-INT-COLOR,Adjective,Intersective,Color
long,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
glass,ADJ-INT-MAT,Adjective,Intersective,Material
soft,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
silver,ADJ-INT-MAT,Adjective,Intersective,Material
shallow,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
beige,ADJ-INT-COLOR,Adjective,Intersective,Color
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
leather,ADJ-INT-MAT,Adjective,Intersective,Material
old,ADJ-NINT-AGE,Adjective,Non-intersective,Age
concrete,ADJ-INT-MAT,Adjective,Intersective,Material
oval,ADJ-INT-SHAPE,Adjective,Intersective,Shape
concrete,ADJ-INT-MAT,Adjective,Intersective,Material
silver,ADJ-INT-COLOR,Adjective,Intersective,Color
blue,ADJ-INT-COLOR,Adjective,Intersective,Color
small,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
golden,ADJ-INT-MAT,Adjective,Intersective,Material
smart,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
concrete,ADJ-INT-MAT,Adjective,Intersective,Material
green,ADJ-INT-COLOR,Adjective,Intersective,Color
small,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
khaki,ADJ-INT-COLOR,Adjective,Intersective,Color
trapezoidal,ADJ-INT-SHAPE,Adjective,Intersective,Shape
modern,ADJ-NINT-AGE,Adjective,Non-intersective,Age
successful,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
large,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
paper,ADJ-INT-MAT,Adjective,Intersective,Material
sharp,ADJ-INT-SHAPE,Adjective,Intersective,Shape
violet,ADJ-INT-COLOR,Adjective,Intersective,Color
short,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
medium,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
good,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
long,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
leather,ADJ-INT-MAT,Adjective,Intersective,Material
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
new,ADJ-NINT-AGE,Adjective,Non-intersective,Age
young,ADJ-NINT-AGE,Adjective,Non-intersective,Age
paper,ADJ-INT-MAT,Adjective,Intersective,Material
hot,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
brown,ADJ-INT-COLOR,Adjective,Intersective,Color
purple,ADJ-INT-COLOR,Adjective,Intersective,Color
quiet,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
sweet,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
navy,ADJ-INT-COLOR,Adjective,Intersective,Color
square,ADJ-INT-SHAPE,Adjective,Intersective,Shape
narrow,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
maroon,ADJ-INT-COLOR,Adjective,Intersective,Color
pointed,ADJ-INT-SHAPE,Adjective,Intersective,Shape
wide,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
modern,ADJ-NINT-AGE,Adjective,Non-intersective,Age
energetic,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
young,ADJ-NINT-AGE,Adjective,Non-intersective,Age
orange,ADJ-INT-COLOR,Adjective,Intersective,Color
long,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
dirty,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
sharp,ADJ-INT-SHAPE,Adjective,Intersective,Shape
weak,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
small,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
purple,ADJ-INT-COLOR,Adjective,Intersective,Color
hard,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
energetic,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
weak,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
adult,ADJ-NINT-AGE,Adjective,Non-intersective,Age
trapezoidal,ADJ-INT-SHAPE,Adjective,Intersective,Shape
long,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
lazy,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
cotton,ADJ-INT-MAT,Adjective,Intersective,Material
yellow,ADJ-INT-COLOR,Adjective,Intersective,Color
huge,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
silver,ADJ-INT-COLOR,Adjective,Intersective,Color
