word,tag,category,subcategory,type
toplantısı,NOUN-INANIM-EVT,Noun,Inanimate,Event
baykuşum,NOUN-ANIM,Noun,Animate,Animate
baykuşun,NOUN-ANIM,Noun,Animate,Animate
baykuşu,NOUN-ANIM,Noun,Animate,Animate
baykuşumuz,NOUN-ANIM,Noun,Animate,Animate
baykuşunuz,NOUN-ANIM,Noun,Animate,Animate
baykuşları,NOUN-ANIM,Noun,Animate,Animate
gösterim,NOUN-INANIM-EVT,Noun,Inanimate,Event
gösterin,NOUN-INANIM-EVT,Noun,Inanimate,Event
gösterisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
gösterimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
gösteriniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
gösterisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
ayım,NOUN-ANIM,Noun,Animate,Animate
ayın,NOUN-ANIM,Noun,Animate,Animate
ayısı,NOUN-ANIM,Noun,Animate,Animate
ayımız,NOUN-ANIM,Noun,Animate,Animate
ayınız,NOUN-ANIM,Noun,Animate,Animate
ayısı,NOUN-ANIM,Noun,Animate,Animate
karıncam,NOUN-ANIM,Noun,Animate,Animate
karıncan,NOUN-ANIM,Noun,Animate,Animate
karıncası,NOUN-ANIM,Noun,Animate,Animate
karıncamız,NOUN-ANIM,Noun,Animate,Animate
karıncanız,NOUN-ANIM,Noun,Animate,Animate
karıncası,NOUN-ANIM,Noun,Animate,Animate
tatilim,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilin,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatili,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatiliniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilleri,NOUN-INANIM-EVT,Noun,Inanimate,Event
balığım,NOUN-ANIM,Noun,Animate,Animate
balığın,NOUN-ANIM,Noun,Animate,Animate
balığı,NOUN-ANIM,Noun,Animate,Animate
balığımız,NOUN-ANIM,Noun,Animate,Animate
balığınız,NOUN-ANIM,Noun,Animate,Animate
balığları,NOUN-ANIM,Noun,Animate,Animate
tatilim,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilin,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatili,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatiliniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilleri,NOUN-INANIM-EVT,Noun,Inanimate,Event
köpeğim,NOUN-ANIM,Noun,Animate,Animate
köpeğin,NOUN-ANIM,Noun,Animate,Animate
köpeği,NOUN-ANIM,Noun,Animate,Animate
köpeğimiz,NOUN-ANIM,Noun,Animate,Animate
köpeğiniz,NOUN-ANIM,Noun,Animate,Animate
köpeğleri,NOUN-ANIM,Noun,Animate,Animate
ceketim,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ceketin,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ceketi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ceketimiz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ceketiniz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ceketleri,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
tilkim,NOUN-ANIM,Noun,Animate,Animate
tilkin,NOUN-ANIM,Noun,Animate,Animate
tilkisi,NOUN-ANIM,Noun,Animate,Animate
tilkimiz,NOUN-ANIM,Noun,Animate,Animate
tilkiniz,NOUN-ANIM,Noun,Animate,Animate
tilkisi,NOUN-ANIM,Noun,Animate,Animate
toplantım,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantın,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantısı,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantımız,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantınız,NOUN-INANIM-EVT,Noun,Inanimate,Event
toplantısı,NOUN-INANIM-EVT,Noun,Inanimate,Event
kurdum,NOUN-ANIM,Noun,Animate,Animate
kurdun,NOUN-ANIM,Noun,Animate,Animate
kurdu,NOUN-ANIM,Noun,Animate,Animate
kurdumuz,NOUN-ANIM,Noun,Animate,Animate
kurdunuz,NOUN-ANIM,Noun,Animate,Animate
kurdları,NOUN-ANIM,Noun,Animate,Animate
kaşığım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
eşeğim,NOUN-ANIM,Noun,Animate,Animate
eşeğin,NOUN-ANIM,Noun,Animate,Animate
eşeği,NOUN-ANIM,Noun,Animate,Animate
eşeğimiz,NOUN-ANIM,Noun,Animate,Animate
eşeğiniz,NOUN-ANIM,Noun,Animate,Animate
eşeğleri,NOUN-ANIM,Noun,Animate,Animate
eşeğim,NOUN-ANIM,Noun,Animate,Animate
eşeğin,NOUN-ANIM,Noun,Animate,Animate
eşeği,NOUN-ANIM,Noun,Animate,Animate
eşeğimiz,NOUN-ANIM,Noun,Animate,Animate
eşeğiniz,NOUN-ANIM,Noun,Animate,Animate
eşeğleri,NOUN-ANIM,Noun,Animate,Animate
maymunum,NOUN-ANIM,Noun,Animate,Animate
maymunun,NOUN-ANIM,Noun,Animate,Animate
maymunu,NOUN-ANIM,Noun,Animate,Animate
maymunumuz,NOUN-ANIM,Noun,Animate,Animate
maymununuz,NOUN-ANIM,Noun,Animate,Animate
maymunları,NOUN-ANIM,Noun,Animate,Animate
penguenim,NOUN-ANIM,Noun,Animate,Animate
penguenin,NOUN-ANIM,Noun,Animate,Animate
pengueni,NOUN-ANIM,Noun,Animate,Animate
penguenimiz,NOUN-ANIM,Noun,Animate,Animate
pengueniniz,NOUN-ANIM,Noun,Animate,Animate
penguenleri,NOUN-ANIM,Noun,Animate,Animate
cenazem,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazen,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazesi,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazemiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazeniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazesi,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezim,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezin,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
geziniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
ziyaredim,NOUN-INANIM-EVT,Noun,Inanimate,Event
ziyaredin,NOUN-INANIM-EVT,Noun,Inanimate,Event
ziyaredi,NOUN-INANIM-EVT,Noun,Inanimate,Event
ziyaredimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
ziyarediniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
ziyaredleri,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanım,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanın,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanı,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanımız,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanınız,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanları,NOUN-INANIM-EVT,Noun,Inanimate,Event
adım,NOUN-ANIM,Noun,Animate,Animate
adın,NOUN-ANIM,Noun,Animate,Animate
adı,NOUN-ANIM,Noun,Animate,Animate
adımız,NOUN-ANIM,Noun,Animate,Animate
adınız,NOUN-ANIM,Noun,Animate,Animate
adları,NOUN-ANIM,Noun,Animate,Animate
ayakkabım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ayakkabın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ayakkabısı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ayakkabımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ayakkabınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ayakkabısı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
güvercinim,NOUN-ANIM,Noun,Animate,Animate
güvercinin,NOUN-ANIM,Noun,Animate,Animate
güvercini,NOUN-ANIM,Noun,Animate,Animate
güvercinimiz,NOUN-ANIM,Noun,Animate,Animate
güvercininiz,NOUN-ANIM,Noun,Animate,Animate
güvercinleri,NOUN-ANIM,Noun,Animate,Animate
aslanım,NOUN-ANIM,Noun,Animate,Animate
aslanın,NOUN-ANIM,Noun,Animate,Animate
aslanı,NOUN-ANIM,Noun,Animate,Animate
aslanımız,NOUN-ANIM,Noun,Animate,Animate
aslanınız,NOUN-ANIM,Noun,Animate,Animate
aslanları,NOUN-ANIM,Noun,Animate,Animate
koyunum,NOUN-ANIM,Noun,Animate,Animate
koyunun,NOUN-ANIM,Noun,Animate,Animate
koyunu,NOUN-ANIM,Noun,Animate,Animate
koyunumuz,NOUN-ANIM,Noun,Animate,Animate
koyununuz,NOUN-ANIM,Noun,Animate,Animate
koyunları,NOUN-ANIM,Noun,Animate,Animate
cenazem,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazen,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazesi,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazemiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazeniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
cenazesi,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışım,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışın,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışı,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışımız,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışınız,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışları,NOUN-INANIM-EVT,Noun,Inanimate,Event
kulaklığım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kulaklığın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kulaklığı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kulaklığımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kulaklığınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kulaklığları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
tilkim,NOUN-ANIM,Noun,Animate,Animate
tilkin,NOUN-ANIM,Noun,Animate,Animate
tilkisi,NOUN-ANIM,Noun,Animate,Animate
tilkimiz,NOUN-ANIM,Noun,Animate,Animate
tilkiniz,NOUN-ANIM,Noun,Animate,Animate
tilkisi,NOUN-ANIM,Noun,Animate,Animate
perdem,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perden,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdemiz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdeniz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
güvercinim,NOUN-ANIM,Noun,Animate,Animate
güvercinin,NOUN-ANIM,Noun,Animate,Animate
güvercini,NOUN-ANIM,Noun,Animate,Animate
güvercinimiz,NOUN-ANIM,Noun,Animate,Animate
güvercininiz,NOUN-ANIM,Noun,Animate,Animate
güvercinleri,NOUN-ANIM,Noun,Animate,Animate
nişanım,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanın,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanı,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanımız,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanınız,NOUN-INANIM-EVT,Noun,Inanimate,Event
nişanları,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışım,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışın,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışı,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışımız,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışınız,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışları,NOUN-INANIM-EVT,Noun,Inanimate,Event
sandalyem,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyen,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyemiz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyeniz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sineğim,NOUN-ANIM,Noun,Animate,Animate
sineğin,NOUN-ANIM,Noun,Animate,Animate
sineği,NOUN-ANIM,Noun,Animate,Animate
sineğimiz,NOUN-ANIM,Noun,Animate,Animate
sineğiniz,NOUN-ANIM,Noun,Animate,Animate
sineğleri,NOUN-ANIM,Noun,Animate,Animate
kitabım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kitabın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kitabı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kitabımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kitabınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kitabları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdem,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perden,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdemiz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdeniz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
perdesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynam,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynan,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynamız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynanız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
yarışmam,NOUN-INANIM-EVT,Noun,Inanimate,Event
yarışman,NOUN-INANIM-EVT,Noun,Inanimate,Event
yarışması,NOUN-INANIM-EVT,Noun,Inanimate,Event
yarışmamız,NOUN-INANIM-EVT,Noun,Inanimate,Event
yarışmanız,NOUN-INANIM-EVT,Noun,Inanimate,Event
yarışması,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilim,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilin,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatili,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatiliniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
tatilleri,NOUN-INANIM-EVT,Noun,Inanimate,Event
sabunum,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sabunun,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sabunu,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sabunumuz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sabununuz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sabunları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sergim,NOUN-INANIM-EVT,Noun,Inanimate,Event
sergin,NOUN-INANIM-EVT,Noun,Inanimate,Event
sergisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
sergimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
serginiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
sergisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
çantam,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
çantan,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
çantası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
çantamız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
çantanız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
çantası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lambam,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lamban,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lambası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lambamız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lambanız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
lambası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
panelim,NOUN-INANIM-EVT,Noun,Inanimate,Event
panelin,NOUN-INANIM-EVT,Noun,Inanimate,Event
paneli,NOUN-INANIM-EVT,Noun,Inanimate,Event
panelimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
paneliniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
panelleri,NOUN-INANIM-EVT,Noun,Inanimate,Event
partim,NOUN-INANIM-EVT,Noun,Inanimate,Event
partin,NOUN-INANIM-EVT,Noun,Inanimate,Event
partisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
partimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
partiniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
partisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
filim,NOUN-ANIM,Noun,Animate,Animate
filin,NOUN-ANIM,Noun,Animate,Animate
fili,NOUN-ANIM,Noun,Animate,Animate
filimiz,NOUN-ANIM,Noun,Animate,Animate
filiniz,NOUN-ANIM,Noun,Animate,Animate
filleri,NOUN-ANIM,Noun,Animate,Animate
cekedim,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cekedin,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cekedi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cekedimiz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cekediniz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
cekedleri,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
anahtarları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gezim,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezin,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
geziniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
aynam,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynan,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynamız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynanız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
aynası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ineğim,NOUN-ANIM,Noun,Animate,Animate
ineğin,NOUN-ANIM,Noun,Animate,Animate
ineği,NOUN-ANIM,Noun,Animate,Animate
ineğimiz,NOUN-ANIM,Noun,Animate,Animate
ineğiniz,NOUN-ANIM,Noun,Animate,Animate
ineğleri,NOUN-ANIM,Noun,Animate,Animate
masam,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
masan,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
masası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
masamız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
masanız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
masası,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
balığım,NOUN-ANIM,Noun,Animate,Animate
balığın,NOUN-ANIM,Noun,Animate,Animate
balığı,NOUN-ANIM,Noun,Animate,Animate
balığımız,NOUN-ANIM,Noun,Animate,Animate
balığınız,NOUN-ANIM,Noun,Animate,Animate
balığları,NOUN-ANIM,Noun,Animate,Animate
sineğim,NOUN-ANIM,Noun,Animate,Animate
sineğin,NOUN-ANIM,Noun,Animate,Animate
sineği,NOUN-ANIM,Noun,Animate,Animate
sineğimiz,NOUN-ANIM,Noun,Animate,Animate
sineğiniz,NOUN-ANIM,Noun,Animate,Animate
sineğleri,NOUN-ANIM,Noun,Animate,Animate
kartalım,NOUN-ANIM,Noun,Animate,Animate
kartalın,NOUN-ANIM,Noun,Animate,Animate
kartalı,NOUN-ANIM,Noun,Animate,Animate
kartalımız,NOUN-ANIM,Noun,Animate,Animate
kartalınız,NOUN-ANIM,Noun,Animate,Animate
kartalları,NOUN-ANIM,Noun,Animate,Animate
serçem,NOUN-ANIM,Noun,Animate,Animate
serçen,NOUN-ANIM,Noun,Animate,Animate
serçesi,NOUN-ANIM,Noun,Animate,Animate
serçemiz,NOUN-ANIM,Noun,Animate,Animate
serçeniz,NOUN-ANIM,Noun,Animate,Animate
serçesi,NOUN-ANIM,Noun,Animate,Animate
serçem,NOUN-ANIM,Noun,Animate,Animate
serçen,NOUN-ANIM,Noun,Animate,Animate
serçesi,NOUN-ANIM,Noun,Animate,Animate
serçemiz,NOUN-ANIM,Noun,Animate,Animate
serçeniz,NOUN-ANIM,Noun,Animate,Animate
serçesi,NOUN-ANIM,Noun,Animate,Animate
sandalyem,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyen,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyemiz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyeniz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
sandalyesi,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kedim,NOUN-ANIM,Noun,Animate,Animate
kedin,NOUN-ANIM,Noun,Animate,Animate
kedisi,NOUN-ANIM,Noun,Animate,Animate
kedimiz,NOUN-ANIM,Noun,Animate,Animate
kediniz,NOUN-ANIM,Noun,Animate,Animate
kedisi,NOUN-ANIM,Noun,Animate,Animate
açılışım,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışın,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışı,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışımız,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışınız,NOUN-INANIM-EVT,Noun,Inanimate,Event
açılışları,NOUN-INANIM-EVT,Noun,Inanimate,Event
kaşığım,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığın,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığı,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığımız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığınız,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
kaşığları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gezim,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezin,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezimiz,NOUN-INANIM-EVT,Noun,Inanimate,Event
geziniz,NOUN-INANIM-EVT,Noun,Inanimate,Event
gezisi,NOUN-INANIM-EVT,Noun,Inanimate,Event
pantolonum,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantolonun,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantolonu,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantolonumuz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantolonunuz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
pantolonları,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
balığım,NOUN-ANIM,Noun,Animate,Animate
balığın,NOUN-ANIM,Noun,Animate,Animate
balığı,NOUN-ANIM,Noun,Animate,Animate
balığımız,NOUN-ANIM,Noun,Animate,Animate
balığınız,NOUN-ANIM,Noun,Animate,Animate
balığları,NOUN-ANIM,Noun,Animate,Animate
gözlüğüm,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gözlüğün,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gözlüğü,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gözlüğümüz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gözlüğünüz,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
gözlüğleri,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
ineğim,NOUN-ANIM,Noun,Animate,Animate
ineğin,NOUN-ANIM,Noun,Animate,Animate
ineği,NOUN-ANIM,Noun,Animate,Animate
